Dataset,Model,Step,MAE,RMSE,MAPE
PEMS04,STNorm,12,20.0941,32.7003,0.1308
PEMS04,STNorm,0,18.8597,30.7432,0.1233

PEMS04,GTS,3,19.2748,30.5065,0.1335
PEMS04,GTS,6,20.9797,32.9540,0.1490
PEMS04,GTS,12,23.8622,36.8322,0.1743
PEMS04,GTS,0,21.0528,33.1028,0.1496

PEMS04,STID,3,17.5960,28.5927,0.1245
PEMS04,STID,6,18.4040,29.9777,0.1293
PEMS04,STID,12,19.6985,31.9131,0.1419
PEMS04,STID,0,18.3943,29.9368,0.1300

PEMS04,STWA,3,18.4709,29.4655,0.1255
PEMS04,STWA,6,19.3632,30.8699,0.1307
PEMS04,STWA,12,20.9081,32.9559,0.1390
PEMS04,STWA,0,19.3847,30.8405,0.1301

PEMS04,MegaCRN,3,17.6750,28.6730,0.1211
PEMS04,MegaCRN,6,18.7528,30.5738,0.1276
PEMS04,MegaCRN,12,20.2721,33.1257,0.1369
PEMS04,MegaCRN,0,18.6918,30.5380,0.1271

PEMS04,STAEformer,3,17.4236,28.6654,0.1161
PEMS04,STAEformer,6,18.1614,30.0633,0.1201
PEMS04,STAEformer,12,19.2425,31.8990,0.1269
PEMS04,STAEformer,0,18.1390,30.0015,0.1202

PEMS07,HistoricalInertia,3,49.2720,71.3238,0.2273
PEMS07,HistoricalInertia,6,49.2841,71.3363,0.2275
PEMS07,HistoricalInertia,12,49.3146,71.3698,0.2279
PEMS07,HistoricalInertia,0,49.2884,71.3409,0.2275

PEMS07,MLP,3,23.1914,35.8093,0.0990
PEMS07,MLP,6,27.9649,42.5885,0.1210
PEMS07,MLP,12,38.4740,56.2965,0.1744
PEMS07,MLP,0,28.8271,44.1885,0.1262

PEMS07,LSTM,3,22.1620,35.2072,0.0942
PEMS07,LSTM,6,26.2884,41.5221,0.1134
PEMS07,LSTM,12,35.3533,54.3063,0.1592
PEMS07,LSTM,0,26.9949,42.9740,0.1176

PEMS07,GRU,3,21.9954,35.1077,0.0931
PEMS07,GRU,6,26.0490,41.3519,0.1115
PEMS07,GRU,12,34.9872,54.0419,0.1566
PEMS07,GRU,0,26.7530,42.7973,0.1158

PEMS07,WaveNet,3,22.7497,35.5579,0.0961
PEMS07,WaveNet,6,27.1437,42.0202,0.1163
PEMS07,WaveNet,12,36.9745,55.1593,0.1661
PEMS07,WaveNet,0,27.9378,43.5086,0.1213

PEMS07,Transformer,3,21.4997,34.0505,0.0900
PEMS07,Transformer,6,24.4858,38.7056,0.1023
PEMS07,Transformer,12,30.1193,46.9601,0.1271
PEMS07,Transformer,0,24.7038,39.2919,0.1035

PEMS07,Transformer,3,20.0603,32.7428,0.0827
PEMS07,Transformer,6,22.5280,36.9435,0.0924
PEMS07,Transformer,12,27.4315,44.3139,0.1125
PEMS07,Transformer,0,22.8304,37.4989,0.0938

